split,label,video_name,clip_num,start_sec,end_sec,avg_motion,max_motion,std_motion,motion_first_half,motion_second_half,motion_change,motion_peak_position
train,foul,foul_001.mp4,1,0.0,1.0,14.17,55.49,11.77,8.22,20.13,11.91,0.46
train,foul,foul_001.mp4,2,1.0,2.0,21.27,24.54,2.8,23.54,18.99,-4.55,0.38
train,foul,foul_001.mp4,3,2.0,3.0,12.37,16.64,2.3,14.37,10.37,-4.0,0.04
train,foul,foul_001.mp4,4,3.0,4.0,7.95,43.54,8.43,10.29,5.62,-4.67,0.5
train,foul,foul_002.mp4,1,0.0,1.0,3.91,31.87,5.83,2.75,5.06,2.3,0.96
train,foul,foul_002.mp4,2,1.0,2.0,7.01,8.44,1.09,8.02,6.01,-2.01,0.29
train,foul,foul_002.mp4,3,2.0,3.0,4.58,6.51,0.97,4.72,4.45,-0.28,0.5
train,foul,foul_002.mp4,4,3.0,4.0,7.12,47.14,9.22,3.46,10.77,7.31,0.88
train,foul,foul_003.mp4,1,0.0,1.0,6.74,31.53,5.25,6.01,7.46,1.46,0.92
train,foul,foul_003.mp4,2,1.0,2.0,2.77,3.13,0.15,2.69,2.86,0.17,0.42
train,foul,foul_003.mp4,3,2.0,3.0,2.74,3.17,0.29,2.92,2.55,-0.37,0.38
train,foul,foul_003.mp4,4,3.0,4.0,1.59,2.15,0.37,1.91,1.28,-0.64,0.0
train,foul,foul_006.mp4,1,0.0,1.0,10.08,56.09,9.96,9.86,10.31,0.45,0.67
train,foul,foul_006.mp4,2,1.0,2.0,6.01,6.81,0.54,5.6,6.43,0.83,0.88
train,foul,foul_006.mp4,3,2.0,3.0,5.37,6.53,0.53,5.63,5.1,-0.53,0.0
train,foul,foul_006.mp4,4,3.0,4.0,4.35,5.97,0.9,4.51,4.19,-0.32,0.04
train,foul,foul_007.mp4,1,0.0,1.0,7.66,35.52,5.92,5.58,9.74,4.16,0.79
train,foul,foul_007.mp4,2,1.0,2.0,9.36,12.82,1.64,9.66,9.05,-0.61,0.96
train,foul,foul_007.mp4,3,2.0,3.0,10.8,15.06,1.85,11.66,9.95,-1.71,0.33
train,foul,foul_007.mp4,4,3.0,4.0,11.59,16.35,2.52,10.35,12.83,2.48,0.71
train,foul,foul_008.mp4,1,0.0,1.0,5.06,10.85,2.23,6.33,3.78,-2.55,0.12
train,foul,foul_008.mp4,2,1.0,2.0,15.71,59.0,10.66,18.87,12.55,-6.32,0.04
train,foul,foul_008.mp4,3,2.0,3.0,9.25,16.39,3.79,9.95,8.55,-1.4,0.46
train,foul,foul_008.mp4,4,3.0,4.0,7.11,14.88,3.29,8.06,6.16,-1.9,0.0
train,foul,foul_009.mp4,1,0.0,1.0,8.9,44.57,9.39,2.94,14.85,11.91,0.58
train,foul,foul_009.mp4,2,1.0,2.0,15.16,19.95,2.33,15.53,14.78,-0.74,0.25
train,foul,foul_009.mp4,3,2.0,3.0,8.17,13.52,2.78,9.3,7.05,-2.25,0.04
train,foul,foul_009.mp4,4,3.0,4.0,6.33,9.54,1.76,6.64,6.01,-0.63,0.08
train,foul,foul_010.mp4,1,0.0,1.0,25.8,32.51,3.75,27.24,24.37,-2.87,0.38
train,foul,foul_010.mp4,2,1.0,2.0,13.07,79.4,14.58,18.13,8.0,-10.14,0.25
train,foul,foul_010.mp4,3,2.0,3.0,8.89,10.5,0.84,8.4,9.39,0.99,0.96
train,foul,foul_010.mp4,4,3.0,4.0,11.1,11.55,0.28,11.05,11.16,0.11,0.67
train,foul,foul_011.mp4,1,0.0,1.0,7.21,41.35,7.45,3.62,10.8,7.19,0.5
train,foul,foul_011.mp4,2,1.0,2.0,6.85,8.94,1.73,8.49,5.21,-3.28,0.17
train,foul,foul_011.mp4,3,2.0,3.0,5.78,6.72,0.74,5.32,6.23,0.91,0.88
train,foul,foul_011.mp4,4,3.0,4.0,5.41,7.37,1.69,6.84,3.98,-2.85,0.25
train,foul,foul_013.mp4,1,0.0,1.0,13.74,45.43,6.85,13.48,14.0,0.52,0.92
train,foul,foul_013.mp4,2,1.0,2.0,4.51,10.64,4.37,5.96,3.06,-2.89,0.17
train,foul,foul_013.mp4,3,2.0,3.0,2.69,8.81,3.57,3.0,2.38,-0.62,0.75
train,foul,foul_013.mp4,4,3.0,4.0,3.67,9.54,3.92,3.75,3.58,-0.17,0.0
train,foul,foul_016.mp4,1,0.0,1.0,6.64,24.92,4.13,7.44,5.83,-1.62,0.08
train,foul,foul_016.mp4,2,1.0,2.0,6.0,6.47,0.31,6.29,5.7,-0.59,0.21
train,foul,foul_016.mp4,3,2.0,3.0,4.75,5.76,1.13,5.55,3.94,-1.61,0.38
train,foul,foul_016.mp4,4,3.0,4.0,5.78,20.12,3.11,4.62,6.93,2.31,0.79
train,foul,foul_017.mp4,1,0.0,1.0,8.31,28.57,4.55,7.77,8.84,1.07,0.38
train,foul,foul_017.mp4,2,1.0,2.0,10.21,11.45,0.99,11.06,9.37,-1.69,0.38
train,foul,foul_017.mp4,3,2.0,3.0,8.06,8.82,0.49,8.47,7.65,-0.82,0.38
train,foul,foul_017.mp4,4,3.0,4.0,4.8,6.47,1.1,5.79,3.81,-1.98,0.04
train,foul,foul_019.mp4,1,0.0,1.0,7.06,60.1,12.39,2.79,11.34,8.55,0.88
train,foul,foul_019.mp4,2,1.0,2.0,26.0,31.35,2.57,26.25,25.74,-0.51,0.67
